prototype,mean_norm,std_norm,max_norm
0,1.0670129,0.28888577,2.229936
1,1.0081658,0.35659146,2.5006478
2,1.0893773,0.32441124,2.7028503
3,0.9705773,0.3230419,2.30812
4,1.0167277,0.31684327,2.4256396
5,1.1151972,0.38797045,3.003782
6,1.0072634,0.39519078,2.749285
7,0.98927665,0.28409952,2.191956
