prototype,mean_norm,std_norm,max_norm
0,0.6996507,0.33278778,1.7846683
1,0.51437086,0.35293558,1.6307533
2,0.58958024,0.30154392,1.5198607
3,0.7043451,0.23710506,1.5223994
