,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,_row_max,_row_min,_max_dev_from_uniform
class_00_FDA_APPROVED,0.077401906,0.01157755,0.010137033,0.01962786,0.014089217,0.08639516,0.022172313,0.004848513,0.2080998,0.1823742,0.07869419,0.015365948,0.16300157,0.014101563,0.06467847,0.027434707,0.2080998,0.004848513,0.1455998
class_01_CT_TOX,0.012895541,0.021613838,0.035968967,0.04971303,0.027033586,0.1439216,0.044493224,0.1216584,0.051320672,0.19160353,0.03777255,0.06470154,0.060734957,0.05671395,0.006626009,0.07322858,0.19160353,0.006626009,0.12910353
