ablation,dataset,n_seeds,mean_test_roc_auc,std_test_roc_auc,ci95_lower,ci95_upper,ci95_margin,per_seed_aucs
a3_no_mse_kd,bace,15,0.8505,0.0114,0.8442,0.8568,0.0063,"[0.8666, 0.8659, 0.8657, 0.8586, 0.8571, 0.8527, 0.8506, 0.8504, 0.8488, 0.8486, 0.8472, 0.8437, 0.8423, 0.83, 0.8298]"
a3_no_mse_kd,bbbp,15,0.9589,0.0086,0.9542,0.9637,0.0048,"[0.975, 0.9668, 0.9655, 0.9651, 0.9639, 0.9601, 0.9598, 0.9593, 0.9588, 0.9585, 0.9569, 0.9563, 0.9497, 0.9496, 0.9384]"
a3_no_mse_kd,clintox,15,0.9264,0.0159,0.9175,0.9352,0.0088,"[0.9511, 0.9475, 0.9413, 0.938, 0.938, 0.9337, 0.9312, 0.9297, 0.9199, 0.9181, 0.9181, 0.9159, 0.9138, 0.9029, 0.896]"
a3_no_mse_kd,sider,15,0.6435,0.0169,0.6341,0.6528,0.0094,"[0.6722, 0.6663, 0.6593, 0.6552, 0.651, 0.6488, 0.6467, 0.6456, 0.6431, 0.6412, 0.6359, 0.6296, 0.6285, 0.6147, 0.6139]"
a3_no_mse_kd,tox21,15,0.8109,0.0031,0.8092,0.8126,0.0017,"[0.8166, 0.8137, 0.8134, 0.8131, 0.8126, 0.8119, 0.8118, 0.8117, 0.8106, 0.8097, 0.8091, 0.8089, 0.8088, 0.8081, 0.8035]"
a4_no_codebook,bace,15,0.8426,0.0151,0.8343,0.851,0.0084,"[0.8616, 0.8585, 0.8564, 0.855, 0.8539, 0.8527, 0.8506, 0.8467, 0.8428, 0.8377, 0.8351, 0.831, 0.8258, 0.818, 0.8138]"
a4_no_codebook,bbbp,15,0.9645,0.0087,0.9597,0.9693,0.0048,"[0.9817, 0.9744, 0.971, 0.9701, 0.9692, 0.9671, 0.9661, 0.9653, 0.9651, 0.9649, 0.9576, 0.957, 0.9561, 0.952, 0.9496]"
a4_no_codebook,clintox,15,0.8703,0.0269,0.8554,0.8852,0.0149,"[0.9105, 0.9087, 0.8935, 0.8911, 0.8871, 0.8828, 0.8812, 0.8775, 0.8587, 0.856, 0.854, 0.8527, 0.8516, 0.8288, 0.8205]"
a4_no_codebook,sider,15,0.6466,0.019,0.6361,0.6571,0.0105,"[0.6834, 0.6734, 0.6718, 0.6629, 0.6497, 0.6472, 0.6441, 0.6438, 0.6435, 0.641, 0.6385, 0.629, 0.6272, 0.622, 0.6214]"
a4_no_codebook,tox21,15,0.7987,0.0037,0.7966,0.8007,0.002,"[0.8038, 0.8031, 0.8029, 0.8016, 0.8013, 0.8008, 0.8, 0.7989, 0.7985, 0.797, 0.7969, 0.7956, 0.7947, 0.7926, 0.7925]"
a5_linear_head,bace,15,0.8506,0.0091,0.8456,0.8557,0.005,"[0.861, 0.8609, 0.8594, 0.8567, 0.8552, 0.8551, 0.8546, 0.8527, 0.8521, 0.8485, 0.8483, 0.8468, 0.8442, 0.8327, 0.831]"
a5_linear_head,bbbp,15,0.9657,0.0062,0.9623,0.9691,0.0034,"[0.9746, 0.9739, 0.971, 0.9704, 0.9704, 0.9704, 0.9691, 0.9678, 0.9634, 0.9608, 0.9597, 0.9594, 0.9591, 0.9587, 0.9569]"
a5_linear_head,clintox,15,0.9255,0.0128,0.9184,0.9326,0.0071,"[0.942, 0.9399, 0.937, 0.937, 0.9337, 0.9322, 0.9301, 0.9283, 0.9228, 0.921, 0.9207, 0.9192, 0.9152, 0.9085, 0.8951]"
a5_linear_head,sider,15,0.654,0.0204,0.6427,0.6653,0.0113,"[0.6874, 0.6824, 0.6794, 0.6718, 0.6681, 0.6632, 0.6547, 0.6523, 0.6467, 0.6427, 0.638, 0.636, 0.6319, 0.6285, 0.6265]"
a5_linear_head,tox21,15,0.807,0.0039,0.8048,0.8091,0.0022,"[0.8142, 0.813, 0.8114, 0.8091, 0.8088, 0.8083, 0.8071, 0.8067, 0.8056, 0.8051, 0.805, 0.8047, 0.8034, 0.8015, 0.8007]"
