phase,epoch,global_epoch,train_loss,val_loss,train_metric,val_metric,train_distill_loss,val_distill_loss,train_cross_distill_loss,val_cross_distill_loss
stage1_gcn_kd,1,1,0.6676153844716598,1.1688311650202825,0.6647673865756079,0.7485651270816254,4.113251666633451,0.12328388140751766,4.056541909976882,3.922115912804237
stage1_gcn_kd,2,2,0.5131167197714046,0.7115014149592473,0.7430006955853309,0.735152263900077,1.727956655074139,0.03511554232010475,3.9450524777782205,3.8022857079139123
stage1_gcn_kd,3,3,0.4689931285624601,0.5279585764958308,0.7548612292397688,0.7534680680227323,0.9750089061503507,0.036903126881672785,3.8656155333227042,3.6927061814528246
stage1_gcn_kd,4,4,0.4414797023851044,0.5013245069063627,0.7674229363249511,0.7600699576273842,0.6349490418726084,0.02696297260431143,3.7303018375318877,3.6965871957632213
stage1_gcn_kd,5,5,0.4223396145567602,0.49050063353318435,0.7781505568376335,0.7701871639685122,0.45419533398686623,0.02122127551298875,3.5974326620296555,3.499984154334435
stage1_gcn_kd,6,6,0.4106191907610212,0.44236300541804385,0.7881104704697388,0.7734311068692752,0.35002564410774073,0.02126560302881094,3.505450813137755,3.4083096430851865
stage1_gcn_kd,7,7,0.39985606135154256,0.437835326561561,0.7952502296014069,0.7794696954814325,0.28333589982013313,0.02130818825501662,3.418854382573342,3.3159608107346754
stage1_gcn_kd,8,8,0.39244729645398196,0.4204453688401442,0.7991030601507956,0.7750455322173754,0.22953510284423828,0.02032957856471722,3.3377532958984375,3.1776199340820312
stage1_gcn_kd,9,9,0.38625366833745217,0.41959172028761643,0.7993547901118321,0.7769351307488689,0.1971789768763951,0.018421466533954326,3.2496848592952805,3.1211292560283956
stage1_gcn_kd,10,10,0.37929231293347415,0.41820394075833833,0.8013805483866435,0.7817659358211052,0.17079647219910912,0.01836222868699294,3.1848110276825574,3.072981907771184
stage1_gcn_kd,11,11,0.3704982290462572,0.4143847318796011,0.8168752124837395,0.7801719122963214,0.14628074607070612,0.01516374028646029,3.117450324856505,2.9791324322040262
stage1_gcn_kd,12,12,0.3654551992611009,0.4109762998727652,0.8176602627536971,0.7908443947803576,0.13073970833603216,0.01623641298367427,3.0489477040816326,3.0011558532714844
stage1_gcn_kd,13,13,0.3614335741315569,0.43511420029860276,0.8211815450847005,0.7701018145302655,0.1187003486010493,0.01808660763960618,3.014807253467793,2.9654808044433594
stage1_gcn_kd,14,14,0.35906398539640466,0.4039645561805138,0.817079597963367,0.7919926134334404,0.10947710154007892,0.013731038341155419,2.95752544792331,2.8769766000600963
stage1_gcn_kd,15,15,0.35029508629623723,0.3901224869948167,0.8253453427161913,0.7891124128903724,0.09959227698189872,0.01183370672739469,2.857488204021843,2.8039497962364783
stage1_gcn_kd,16,16,0.34552788247867505,0.38602333802443284,0.8306565419378269,0.7886617896094057,0.09103076312006736,0.011546729848935055,2.7762476084183674,2.7305984497070312
stage1_gcn_kd,17,17,0.3416342054094587,0.3952198762160081,0.8290633709517862,0.7911835378219205,0.08477884409378986,0.010678029977358304,2.7116285051618303,2.740613790658804
stage1_gcn_kd,18,18,0.33967485233229033,0.38320137904240537,0.8287009220542522,0.7848925237322701,0.07987300717100805,0.008857468572946696,2.689191857162787,2.6671409606933594
stage1_gcn_kd,19,19,0.3383332466592594,0.38510865431565505,0.8263991280332396,0.7791501513854482,0.07469140266885563,0.009267018964657417,2.6577322823660716,2.659423828125
stage1_gcn_kd,20,20,0.33417522663972815,0.37771217639629656,0.8341761875858106,0.7910221995794214,0.06918939765618771,0.00889072624536661,2.63849468620456,2.607699467585637
stage1_gcn_kd,21,21,0.33432781453035315,0.3870714260981633,0.8334534493218828,0.7844232836379835,0.06663863999502999,0.007854729890823364,2.639044625418527,2.605611654428335
stage1_gcn_kd,22,22,0.3315899907326212,0.38010351474468523,0.8355893634151172,0.7936212767014329,0.06309127807617188,0.007983366457315592,2.6199963628029335,2.55016356248122
stage1_gcn_kd,23,23,0.32955508329430405,0.3946694227365347,0.8368534890749659,0.7963173547497084,0.058513534312345544,0.006044403864787175,2.5936064428212693,2.6084474416879506
stage1_gcn_kd,24,24,0.32865018260722256,0.3863499347980206,0.8420484726017263,0.7857514259732521,0.055741699374451927,0.006381462972897749,2.59847337372449,2.5456698491023135
stage1_gcn_kd,25,25,0.3296328953334263,0.391722165621244,0.8396008166073194,0.7944589238905998,0.0544367469086939,0.006722363714988415,2.6185199971101722,2.6167813814603367
stage1_gcn_kd,26,26,0.32810518692950813,0.3772921928992638,0.840925186193194,0.8003003651156835,0.05264245247354313,0.006942505446764139,2.601859579280931,2.5857012822077823
stage1_gcn_kd,27,27,0.3260253789473553,0.3922253755422739,0.8471900528986954,0.7926395683274348,0.05152010917663574,0.0067034564339197595,2.6013745677714444,2.5889610877403846
stage1_gcn_kd,28,28,0.3260187421526228,0.403348629291241,0.8447348350080576,0.798616367054036,0.04986386883015535,0.006744052928227644,2.594915740343989,2.606644557072566
stage1_gcn_kd,29,29,0.32761768418915416,0.4010194998521071,0.8426411037564886,0.7887871984728201,0.04867558576622788,0.005895355573067298,2.6179881193199934,2.6087540846604567
stage1_gcn_kd,30,30,0.32596302032470703,0.36649516912607044,0.8468056280270394,0.7944321409700077,0.04491991899451431,0.004999630726300753,2.6114897436025193,2.642564920278696
stage1_gcn_kd,31,31,0.32529461140535315,0.42079855845524716,0.8466776478195936,0.7770565511189077,0.04396875050603127,0.004927827188601861,2.6107808327188295,2.687956296480619
stage1_gcn_kd,32,32,0.3260220702813596,0.3799955661480243,0.8456964606446186,0.8075937618491958,0.04273384444567622,0.0047584491280409005,2.6257068867586097,2.617411099947416
stage1_gcn_kd,33,33,0.32284413551797675,0.40308504838209885,0.8522426883176114,0.7857125885338849,0.04094756379419444,0.004886047198222234,2.6142603037308674,2.6745631878192606
stage1_gcn_kd,34,34,0.32376624126823583,0.4141657902644231,0.8513825282922571,0.7903051558912025,0.04082273950382155,0.004627111439521496,2.6240237489038583,2.7108999399038463
stage1_gcn_kd,35,35,0.3233631095107721,0.3847765555748573,0.8504636588773216,0.8018975634842729,0.03957503912400226,0.004074798467067571,2.618584769112723,2.6408890944260817
stage1_gcn_kd,36,36,0.3244523223565549,0.3933448791503906,0.8487880288859397,0.7819766890619816,0.03934922510263871,0.0038739497271867897,2.6117099061304208,2.7642062260554385
stage1_gcn_kd,37,37,0.3145989009312221,0.38772740730872524,0.864566970272553,0.8086048333843826,0.03667389373390042,0.0031998461255660425,2.5749664306640625,2.6916814950796275
stage1_gcn_kd,38,38,0.31087042360889666,0.3765837596012996,0.8684325631761909,0.8052982728545164,0.03440095210561947,0.0030936942650721623,2.558232677226164,2.707506326528696
stage1_gcn_kd,39,39,0.3119394146666235,0.3808763577387883,0.8646641303570174,0.807104416808842,0.03270482773683509,0.0033073451083440045,2.5654739068478953,2.6827556903545675
stage1_gcn_kd,40,40,0.3083614232588787,0.38981489034799427,0.8729357792580056,0.8111686739107506,0.03143516122078409,0.0033968664132631742,2.563484814702248,2.6759763864370494
stage1_gcn_kd,41,41,0.3102570358587771,0.39128773029033953,0.8717340021005584,0.8128656773786043,0.030722749476530115,0.0031871019074550043,2.5673175733916613,2.7158226600060096
stage1_gcn_kd,42,42,0.3070506076423489,0.394618584559514,0.8730288745986012,0.7943046372941551,0.03005855910632075,0.0031395422724577095,2.56065119529257,2.685061821570763
stage1_gcn_kd,43,43,0.30475135725371694,0.3997977330134465,0.8784517909703712,0.8005340142821464,0.02869622074827856,0.0028400630331956423,2.546830313546317,2.7728641216571512
stage1_gcn_kd,44,44,0.3022225827586894,0.3972326425405649,0.8806631007526882,0.8061510041505974,0.02763619714853715,0.0026748180389404297,2.5393212766063455,2.69575441800631
stage1_gcn_kd,45,45,0.30082854446099727,0.3881477209237906,0.8824136234537955,0.8026703457007517,0.026812383106776645,0.0027045498673732462,2.5279776125538107,2.71458992591271
