phase,epoch,global_epoch,train_loss,val_loss,train_metric,val_metric,train_distill_loss,val_distill_loss,train_cross_distill_loss,val_cross_distill_loss
stage1_gcn_kd,1,1,0.4850452322708933,1.7374293009440105,0.5507111811152666,0.5772954702302528,8.33476417943051,0.3101273775100708,4.103460211502878,3.8338311513264975
stage1_gcn_kd,2,2,0.3263623839930484,0.8600401878356934,0.6784748633274338,0.6451659451659453,7.733117354543586,0.16588356097539267,4.064045554713199,3.7715056737264
stage1_gcn_kd,3,3,0.3214303066855983,0.7170538902282715,0.6874028023911183,0.727406048058222,7.49142134817023,0.20610966285069784,4.036813434801604,3.688156763712565
stage1_gcn_kd,4,4,0.3163289270902935,0.5878547032674154,0.7013668848349571,0.7476127736997302,7.117377030222039,0.129134863615036,3.9986347399259867,3.7059688568115234
stage1_gcn_kd,5,5,0.3131520622654965,0.5002118746439616,0.7224161503395343,0.8098641696467783,6.865163702713816,0.13594362139701843,3.996490478515625,3.686859130859375
stage1_gcn_kd,6,6,0.302508881217555,0.6438577572504679,0.7756829502308156,0.8035306480958655,6.840325606496711,0.14243115981419882,3.9838449578536186,3.619085947672526
stage1_gcn_kd,7,7,0.28921215157759816,0.5809679826100668,0.7885894851136015,0.848182131877784,6.838549162212171,0.12296304106712341,3.9801077591745475,3.6311467488606772
stage1_gcn_kd,8,8,0.2763739887036775,0.5660180648167928,0.8346447667405499,0.8722865298952256,6.699291831568668,0.16060057282447815,3.9769263016550163,3.6162284215291343
stage1_gcn_kd,9,9,0.272026589042262,0.30281474192937213,0.8605506700759551,0.8725641508250204,6.651832580566406,0.16802382469177246,3.9685897827148438,3.661170323689779
stage1_gcn_kd,10,10,0.26168685210378545,0.7640066146850586,0.8798982354182427,0.8111377752682101,6.5763489572625415,0.19524463017781576,3.972824899773849,3.6635939280192056
stage1_gcn_kd,11,11,0.2750008984615928,0.37556131680806476,0.8534106381374407,0.8883022774327123,6.523789656789679,0.17783663670221964,3.971103868986431,3.648832321166992
stage1_gcn_kd,12,12,0.25181383835641963,0.37149755160013836,0.8965390135954123,0.901275174101261,6.478018911261308,0.16162735223770142,3.955176504034745,3.6316248575846353
stage1_gcn_kd,13,13,0.25287798831337377,0.34229588508605957,0.8887746062073899,0.8763896731288037,6.4059396041067025,0.1758395036061605,3.963918585526316,3.6566899617513022
stage1_gcn_kd,14,14,0.2516573855751439,0.32253281275431317,0.8929428742239224,0.8969932241671372,6.364051818847656,0.1728801727294922,3.96360939427426,3.611124356587728
stage1_gcn_kd,15,15,0.26335244429738897,0.4006848732630412,0.8768207290267891,0.8687386285212373,6.33585598594264,0.20190008481343588,3.969323810778166,3.6270147959391275
stage1_gcn_kd,16,16,0.24754080019499125,0.35899333159128827,0.9048009796221738,0.8421701486918878,6.309157923648232,0.16823009649912515,3.9461894788240133,3.6399943033854165
stage1_gcn_kd,17,17,0.2431466955887644,0.41396649678548175,0.9088255199962915,0.8381422924901186,6.299726787366365,0.17101593812306723,3.939615350020559,3.6204045613606772
stage1_gcn_kd,18,18,0.2395109126442357,0.3660516341527303,0.9156543697423548,0.8549046364263756,6.322955081337376,0.17185809214909872,3.937835693359375,3.608231544494629
stage1_gcn_kd,19,19,0.23577803059628136,0.3550410270690918,0.9165317382734544,0.871516406299015,6.319462023283306,0.14746532837549844,3.9333825362356087,3.6090148289998374
stage1_gcn_kd,20,20,0.23970551239816765,0.3315261999766032,0.9088033468308372,0.8603174603174604,6.27286087839227,0.20089399814605713,3.928721779271176,3.6321853001912436
stage1_gcn_kd,21,21,0.22586493743093392,0.3183859388033549,0.9307184102721833,0.8662227868749608,6.265582837556538,0.1766343116760254,3.9407087627210116,3.6471888224283853
stage1_gcn_kd,22,22,0.2239673012181332,0.3343413670857747,0.9316913918933034,0.8821240353849049,6.250068664550781,0.2080480456352234,3.929581090023643,3.5870609283447266
stage1_gcn_kd,23,23,0.23004900781731857,0.3694549798965454,0.9249141219630377,0.8593057908275299,6.2198638916015625,0.20969518025716147,3.933673256321957,3.620834986368815
stage1_gcn_kd,24,24,0.23379860426250257,0.3374352852503459,0.91778184238524,0.8844375431331954,6.236258255807977,0.18816141287485758,3.910846107884457,3.604956309000651
stage1_gcn_kd,25,25,0.23293633210031608,0.3896692593892415,0.9174546380381858,0.888346194867934,6.203127409282484,0.16533794005711874,3.92896873072574,3.630774180094401
stage1_gcn_kd,26,26,0.21938785753752055,0.38184722264607746,0.9334411642900327,0.8810919756571931,6.186797292608964,0.15294192234675089,3.9209108854594983,3.6112095514933267
stage1_gcn_kd,27,27,0.22283042104620682,0.3512847423553467,0.9325635889780195,0.8826479076479077,6.196646840948808,0.18664167324701944,3.924588253623561,3.6243699391682944
stage1_gcn_kd,28,28,0.22786198164287366,0.36391743024190265,0.9301096395683646,0.8635202961289917,6.195801182797081,0.22188695271809897,3.9133381090666117,3.6006832122802734
stage1_gcn_kd,29,29,0.22100513859799034,0.36686142285664874,0.9367107754399673,0.8689331200200765,6.2115944310238485,0.17160586516062418,3.9095334504780017,3.6064910888671875
stage1_gcn_kd,30,30,0.22715066608629728,0.3302977879842122,0.928072149323134,0.8868263379132943,6.185364171078331,0.16595623890558878,3.9216690063476562,3.60737673441569
stage1_gcn_kd,31,31,0.2148852599294562,0.3402196566263835,0.9440240998826831,0.8790921638747725,6.198569448370683,0.19325902064641318,3.9142680921052633,3.6164677937825522
stage1_gcn_kd,32,32,0.21676816438373767,0.36426349480946857,0.9436503823331004,0.8693817052512705,6.17194968775699,0.14829417069753012,3.912264773720189,3.602848688761393
stage1_gcn_kd,33,33,0.22300017507452713,0.3495062192281087,0.9311981828670375,0.8891320032624381,6.182855706465872,0.16858343283335367,3.9130216899671053,3.609580675760905
stage1_gcn_kd,34,34,0.21292553449931897,0.35637497901916504,0.9404575705762495,0.8778577702490746,6.178657531738281,0.14026187856992087,3.9128787392064144,3.6153907775878906
stage1_gcn_kd,35,35,0.22095361508821187,0.3593011697133382,0.9353189566739166,0.8837191793713532,6.170435052168997,0.14612144231796265,3.9046044600637337,3.6116482416788735
stage1_gcn_kd,36,36,0.22231862419529966,0.33409639199574787,0.9262782893120813,0.8796317209360689,6.1948487131219165,0.16152545809745789,3.8933796129728617,3.5944814682006836
stage1_gcn_kd,37,37,0.22368975689536647,0.32806424299875897,0.9373578977517433,0.9120255348516217,6.1329092728464225,0.17201346158981323,3.9013226157740544,3.6143051783243814
stage1_gcn_kd,38,38,0.22128777754934212,0.3502583106358846,0.9333152645285712,0.8888857519292301,6.158082660875823,0.2147249182065328,3.906705755936472,3.600116729736328
stage1_gcn_kd,39,39,0.21848894420423007,0.3603171507517497,0.936480786494571,0.8838383838383839,6.141500774182771,0.18826844294865927,3.90350341796875,3.609151522318522
stage1_gcn_kd,40,40,0.2236347700420179,0.3707328637440999,0.9328036592142827,0.89402095489052,6.163137335526316,0.18974483013153076,3.8928041960063733,3.5906330744425454
stage1_gcn_kd,41,41,0.21330027831228157,0.38382017612457275,0.9459056652969114,0.8779848171152519,6.139724329898232,0.17500905195871988,3.902523241545025,3.5965188344319663
stage1_gcn_kd,42,42,0.22187481428447522,0.35834717750549316,0.9271701281791603,0.8911239726457117,6.156908938759251,0.20190906524658203,3.9006925884046053,3.5938549041748047
stage1_gcn_kd,43,43,0.21981377350656608,0.37831342220306396,0.9379335907226733,0.8849174979609762,6.14451117264597,0.16617059707641602,3.8964141042608964,3.608718236287435
stage1_gcn_kd,44,44,0.21654648529855827,0.33316242694854736,0.9406769146325676,0.8926281448020579,6.126782065943668,0.14676827192306519,3.9004877993935034,3.6155567169189453
stage1_gcn_kd,45,45,0.22040517706620066,0.36741209030151367,0.9385442753521576,0.8761951816299642,6.153044851202714,0.1899279554684957,3.898438704641242,3.5911636352539062
stage1_gcn_kd,46,46,0.2157794801812423,0.36635692914326984,0.9430236240942276,0.8862350210176297,6.141858151084499,0.14585681756337485,3.892685739617599,3.5990657806396484
stage1_gcn_kd,47,47,0.21253673653853566,0.3550012906392415,0.9389641992990992,0.86959972394755,6.14976019608347,0.1791249910990397,3.904069599352385,3.6087722778320312
stage1_gcn_kd,48,48,0.21117898037559107,0.32479246457417804,0.9453215967372088,0.8899178116569422,6.145433927837171,0.20281086365381876,3.89551463880037,3.5988171895345054
stage1_gcn_kd,49,49,0.2229855687994706,0.37079326311747235,0.9335636545708488,0.8891320032624381,6.125466196160567,0.17605129877726236,3.8986712004009045,3.6081825892130532
stage1_gcn_kd,50,50,0.21384896730121813,0.3574383656183879,0.938904608406,0.8908541941150636,6.140145552785773,0.2115838130315145,3.8936514603464225,3.596541086832682
stage1_gcn_kd,51,51,0.21868979303460373,0.354861577351888,0.9348972255579671,0.9027275864232387,6.132976331208882,0.16691402594248453,3.8893830148797286,3.5938987731933594
stage1_gcn_kd,52,52,0.21170357653969213,0.3839079936345418,0.949207627561222,0.8662227868749608,6.133256209524054,0.16836378971735635,3.8948958547491777,3.6124954223632812
stage1_gcn_kd,53,53,0.21354218533164576,0.34107402960459393,0.943850344766298,0.9051759834368531,6.133272672954359,0.17355581124623617,3.8974368446751644,3.5969874064127603
stage1_gcn_kd,54,54,0.21709625344527395,0.355363408724467,0.9394694501878245,0.8863463830855135,6.135690387926604,0.18497578303019205,3.891881039268092,3.6036758422851562
stage1_gcn_kd,55,55,0.21174204976935135,0.3230920433998108,0.9448873587421873,0.9055571240353848,6.142794157329359,0.17038710912068686,3.893696433619449,3.612085978190104
stage1_gcn_kd,56,56,0.21734242690236946,0.36110814412434894,0.9361629887555425,0.8900605433214128,6.145696539627878,0.14772803584734598,3.8817170795641447,3.602071762084961
stage1_gcn_kd,57,57,0.2091030572590075,0.3440925677617391,0.9472249717671921,0.8949338101512014,6.144102397717927,0.15442929665247598,3.8909225463867188,3.612238566080729
stage1_gcn_kd,58,58,0.21373994726883738,0.36125723520914715,0.9426789520497182,0.8820126733170212,6.152394746479235,0.181827445824941,3.889689796849301,3.601877530415853
